,Theme,Company,
0,2차전지,"['천보', '피엔티', ‘에코프로비엠', ‘디에이테크놀로지’, ’피앤이솔루션’, '에이에프더블류', '일진머티리얼즈', ‘코스모신소재’, ‘씨아이에스’]",
1,3D프린터,"[‘하이비젼시스템’, ‘에스티아이’]",
2,4대강,"['코리아에스이', '이화공영', '삼호개발', '우원개발', '코엔텍', '자연과환경', '홈센타홀딩스', ‘웹스’, ‘혜인’]",
3,5G,"[‘케이엠더블유’, ’오이솔루션', '대한광통신', ‘RFHIC', '쏠리드', '전파기지국', ‘머큐리’]",
4,AR,"['이랜텍', '나노캠텍', '드래곤플라이', '심텍', '팅크웨어', '위지윅스튜디오', '아이엠', '이에스브이']",
5,DMZ,"['이화공영', '대창스틸', '자연과환경', '코아스', '삼륭물산']",
6,ESS,"[‘삼화전기', '윌링스', '신성이엔지']",
7,LCC,"['한진칼', '진에어', '제주항공', '티웨이항공', '아시아나항공', '에어부산', '티웨이홀딩스', '대한항공']",
8,LCD,"['디아이티', '상아프론테크', '베셀', '씨앤지하이테크', '한솔테크닉스', '디이엔티', '테크윙', '제우스', '명성티엔에스']",
9,LED,"['유양디앤유', '서울바이오시스', '파커스', '루멘스', '기가레인', '빛샘전자', '아이엘사이언스', '루미마이크로', '우리이앤엘', '티씨케이', '서울반도체']",
10,LNG,"['현대미포조선', '한진중공업', '비에이치아이']",
11,MRO,"['이크레더블', ‘이상네트웍스’, ‘아이마켓코리아’]",
12,NFC,"['에이스테크', '파트론', '한국정보통신', '유비벨록스', '코나아이', '나이스정보통신']",
13,OLED,"['파워넷', '세미콘라이트']",
14,OTT,"['이에스에이', '스튜디오드래곤']",
15,PCB,"['이녹스', '디에이피', '액트', '대덕전자', '삼성전기', '비에이치', '이수페타시스', 'LG이노텍', '인터플렉스', '슈펙스비앤피', '에이엔피', '코리아써키트', '뉴프렉스']",
16,QR코드,"[‘아이크래프트’, ‘다날’ ‘KG모빌리언스’, ‘인포뱅크’]",
17,SSD,"['심텍', 'SFA반도체', 'SGA', 'KMH하이텍', '네오셈', '하나마이크론']",
18,VR,"['바른손이앤에이', '덱스터', '바른손', '위지윅스튜디오', '주연테크']",
19,Z플립,"['상보', 'KH바텍', '파인테크닉스']",
20,가상화폐,"['SCI평가정보', '위지트', ‘옴니텔', '비덴트']",
21,가스터빈,"['삼기오토모티브', ‘효성첨단소재’, '동아화성']",
22,개성공단,"['인디에프', '재영솔루텍', '신원', '좋은사람들', '현대엘리베이터']",
23,건설,"['삼호개발', '성신양회', '남광토건', '보광산업', '고려시멘트']",
24,건설기계,"['삼원테크', '프리엠스', '동일금속', '서연탑메탈', '수산중공업', '두산인프라코어', '대창단조', '디와이파워', '진성티이씨', '두산밥캣']",
25,건설사,"['일성건설', '까뮤이앤씨', '삼부토건']",
26,공공와이파이,"['머큐리', '아이즈비전']",
27,공기청정기,"['카스', '크린앤사이언스', '위니아딤채', ‘코웨이’, '웰크론']",
28,광고,"['지투알', '지어소프트', '케어랩스', '에코마케팅']",
29,광물자원개발,"['삼영엠텍', ‘티플랙스’, '한국내화', '포스코엠텍']",
30,국가보안법,"['유니온머티리얼', ‘티플랙스’, ‘유니온’]",
31,그래핀,"['상보', '국일제지', '크리스탈신소재', ‘엑사이엔씨’, ‘아이컴포넌트’]",
32,그린뉴딜,"['유니슨', ‘비츠로테크', '풍국주정', '세종공업', ‘에코바이오’, ‘동국S&C’, ‘후성’]",
33,기생충,"['바른손이앤에이', '바른손', '지엔코', ‘큐캐피탈’, '덱스터']",
34,남북경협,"['현대로템', '도화엔지니어링', '에코마이스터', '흥구석유', '남광토건', '좋은사람들', ‘아난티', ‘남화토건', '부산산업']",
35,남북철도,"['현대로템', '에코마이스터', '대아티아이', '부산산업', '푸른기술']",
36,노인복지,"['대원제약', '인성정보', '씨유메디칼', '오스코텍', '엔지켐생명과학', '아이센스']",
37,농업,"['대동공업', '아세아텍', '우진비앤지']",
38,닭,"['하림', ‘마니커', '마니커에프앤지']",
39,대입,"['메가엠디', '메가스터디']",
40,대체육,"[‘에스텍파마’, ‘동원F&B’, ‘인트론바이오’, ‘경남바이오파마’]",
41,데이터3법,"['웹케시', '엔씨소프트', '유니셈', '포스코엠텍']",
42,덱사메타손,"['신일제약', '한올바이오파마', '휴메딕스', '대원제약', '부광약품', ‘JW중외제약', '국제약품', '영진약품']",
43,도시가스,"['예스코홀딩스', '삼천리', '지에스이', '대성에너지', '한국가스공사', '대성홀딩스']",
44,돼지열병,"['중앙백신', '마니커에프앤지', '파루', ‘우진비앤지', '체시스', '이글벳']",
45,드라마,"['제이콘텐트리', 'SBS', '스튜디오드래곤', 'CJ']",
46,드론,"['퍼스텍', '해성옵틱스', ‘한국항공우주', '엠씨넥스', '피씨디렉트', '한화에어로스페이스', ‘네온테크', '제이씨현시스템']",
47,렘데시비르,"['파미셀', '뉴지랩', 'SK케미칼', '제일약품', '진원생명과학', '신풍제약', '에스티팜', '엑세스바이오', '에이프로젠제약', '바이오니아', '엔지켐생명과학', '부광약품', '한올바이오파마']",
48,로봇,"['로보티즈', '로보스타', '휴림로봇', '로보로보']",
49,리츠,"['이리츠코크렙', '신한알파리츠', '에이리츠', '모두투어리츠', 'NH프라임리츠', '롯데리츠']",
50,마스크,"['레몬', '케이엠', '오공', '모나리자', '깨끗한나라', '웰크론', '쌍방울']",
51,메트포르민,"['대한뉴팜', '신풍제약', '대웅제약']",
52,면세점,"['호텔신라', '하나투어', '신세계', '토니모리', '글로벌텍스프리']",
53,면역세포치료제,"['신라젠', '제넥신', '녹십자셀']",
54,면역항암제,"['에이비엘바이오', '녹십자랩셀', '앱클론', '크리스탈', '이수앱지스', '셀리드', '메드팩토', '티움바이오', '큐리언트', '인콘', '에스티큐브', '유틸렉스', '엔케이맥스', '한올바이오파마']",
55,무선충전기술,"['켐트로닉스', '삼성전기', ‘LG이노텍', '한솔테크닉스', '이랜텍', '알에프텍']",
56,미세먼지,"['웰크론', '위닉스', 'KC코트렐', '오공', '케이엠', ‘하츠’, ‘크린앤사이언스’]",
57,바이오시밀러,"['에이프로젠제약', ‘제넥신’, ‘이수앱지스', '한미약품', ‘셀트리온’, ‘알테오젠’, ‘레고켐바이오’]",
58,반일,"[‘모나미’, ‘신성통상’, ‘TBH글로벌’, ‘하이트진로홀딩스’]",
59,방사광가속기,"['다원시스', ‘비츠로테크', ‘모비스’]",
60,방산,"['한일단조', '스페코', '빅텍']",
61,방역,"[‘파루’, ‘모나리자’, ‘진원생명과학’]",
62,방위산업,"['한화시스템', '웰크론', 'LIG넥스원', 'STX엔진', 'DMS', '한화', '풍산', '빅텍', '퍼스텍', '삼영이엔씨', '한국항공우주', '미래아이앤지', '한화에어로스페이스', '포메탈', '스페코']",
63,방탄소년단,"['키이스트', '넷마블', '디피씨', '드림어스컴퍼니', '손오공', ‘브이티지엠피', '엘비세미콘', '초록뱀']",
64,백화점,"['대구백화점', '베뉴지', '롯데쇼핑', '신세계', '현대백화점', '광주신세계', 'CJ']",
65,보톡스,"['제테마', '휴젤', '메디톡스', '휴온스글로벌', '대웅제약']",
66,분유,"['매일유업', '남양유업']",
67,블록체인,"['케이사인', '주연테크', '드림시큐리티', '라온시큐어', '데일리블록체인']",
68,비료,"['KG케미칼', '카프로', '우진비앤지', '체시스', '조비', '효성오앤비']",
69,비메모리,"['원익IPS', '에스앤에스텍']",
70,사료,"['씨티씨바이오', '우진비앤지', '미래생명자원', '대한제당', '케이씨피드', '현대사료', '사조동아원', '한일사료', '고려산업', '이지바이오', '팜스토리', '팜스코', '한탑']",
71,사물인터넷,"['이에스브이', '이그잭스', '유비쿼스', '엔텔스', '링네트', '오픈베이스', '에이디테크놀로지', '핸디소프트']",
72,생명보험,"['미래에셋생명', '삼성생명', '동양생명', '코리안리', '한화생명']",
73,생체인식,"['젬백스링크', '젬백스', '슈프리마', '동운아나텍','해성옵틱스', '드림텍', '에프에스티', ‘라온시큐어’, ’드림시큐리티’, '멜파스']",
74,석유,"['극동유화', '흥구석유', 'SH에너지화학', '중앙에너비스']",
75,석유화학,"['SKC', 'LG화학', '태광산업', '효성화학', '동성화학', '롯데케미칼', 'SK이노베이션']",
76,소매유통,"['신세계', '다나와', 'BGF리테일', '롯데쇼핑', 'CJ']",
77,소셜네트워크서비스,"['가비아', '이루온', ‘카페24’]",
78,손소독제,"['MH에탄올', ‘국제약품', ‘창해에탄올', '씨젠', '파루', ‘한국알콜', ‘서린바이오’, ‘보락’]",
79,손해보험,"['흥국화재', 'DB손해보험', '메리츠화재', '코리안리', '현대해상']",
80,수산물,"['CJ씨푸드', '사조대림', '신라에스지', '사조오양', '한성기업', '동원수산']",
81,수소차,"[‘효성첨단소재’, ‘두산퓨얼셀’, ‘이엠코리아’, ‘일진다이아’, ‘제이엔케이히터’, ‘에스퓨얼셀’, ‘유니크’, ‘풍국주정’]",
82,슈퍼박테리아,"['레고켐바이오', ‘동아에스티', '씨젠', '큐로컴', '인트론바이오', '크리스탈']",
83,스마트공장,"['맥스로텍', '비엠티', ‘포스코 ICT’]",
84,스마트그리드,"['누리텔레콤', '코콤', ‘비츠로셀’, ‘옴니시스템’]",
85,시멘트,"['고려시멘트', '삼표시멘트']",
86,시스템반도체,"['엘비세미콘', '하나마이크론', '에이디칩스', '어보브반도체', '지니틱스', '에스앤에스텍', '피에스케이', '에이디테크놀로지', 'DB하이텍', '디아이', '라닉스', '네패스', '다믈멀티미디어', '테크윙', 'SFA반도체', '테스', '테스나', '아이에이']",
87,신공항,"['경방', '한진', '동방선기', '영화금속', '한국선재']",
88,아기상어,"['토박스코리아', ‘삼성출판사’, ‘오로라’]",
89,아이폰,"['프로텍', '덕우전자', ‘비에이치', '덕산네오룩스', '넥스턴', '와이엠티', '실리콘웍스', '이녹스첨단소재']",
90,알콜,"['MH에탄올', '풍국주정', '한국알콜', '창해에탄올']",
91,애경산업,"['애경산업', 'HDC현대산업개발', '아시아나항공']",
92,양돈,"['팜스토리', '이지바이오', '우리손에프앤지', '선진']",
93,언택트,"['비트컴퓨터', 'KG모빌리언스', '카카오', '코리아센터', '지어소프트', '카페24', '한진중공업', '인프라웨어', '라온시큐어', '유비케어', '아시아나항공', '인성정보']",
94,엔젤산업,"['제로투세븐', '모나미', '메디앙스', '웅진씽크빅', ‘캐리소프트’, ‘아가방컴퍼니’ ]",
95,엔터테인먼트,"['에스엠', '와이지엔터테인먼트', '키이스트', '팬엔터테인먼트', '큐브엔터', '제이콘텐트리', '에프엔씨엔터', ‘스튜디오드래곤’, ‘YG PLUS’, ‘SM C&C’, ‘JYP Ent.’]",
96,여행,"['노랑풍선', '하나투어', '롯데관광개발', '참좋은여행', '인터파크', '세중']",
97,영화,"['바른손', ‘NEW', '바른손이앤에이', '쇼박스', '세기상사', '덱스터']",
98,온라인교육,"['비상교육', '아이스크림에듀', '메가스터디', '메가엠디', 'NE능률', 'YBM넷']",
99,완구,"['손오공', '오로라']",
100,우주항공산업,"['한화', '대한항공', ‘한화에어로스페이스’]",
101,원격진료,"[‘인성정보’, ’유비케어’, '비트컴퓨터', 'JW중외제약', '테라젠이텍스', 'SK케미칼', '나노엔텍', '인피니트헬스케어', '소프트센', '녹십자홀딩스', '파마리서치프로덕트', '케어랩스', '유비쿼스']",
102,육계,"[‘마니커에프앤지’, '하림', '체리부로', '마니커']",
103,음성인식,"[‘알서포트’, ‘링네트’, ‘브리지텍’, ‘KTcs’]",
104,음압병실,"['우정바이오', 'GH신소재']",
105,이뮨메드,"['우노앤컴퍼니', 'SV인베스트먼트', '마크로젠']",
106,인공지능,"[‘로보스타', '에이디칩스', '고영', '가온미디어', 'TPC', '오픈베이스', '라온피플', '네패스', '셀바스AI', '싸이맥스', '일양약품', 'LG이노텍']",
107,인공호흡기,"['씨유메디칼', '멕아이씨에스']",
108,인터넷은행,"[‘KG이니시스’, ‘브리지텍’, ‘다날’]",
109,인테리어,['한샘'],
110,임플란트,"['오스테오닉', 'SK바이오랜드', '오스템임플란트', '나이벡', '레이', '덴티움', '바텍', ‘오스코텍’, ‘디오’]",
111,자율주행차,"['드림텍', '칩스앤미디어', '모바일어플라이언스', '팅크웨어', '라닉스', '코리아에프티', '대성엘텍', '모트렉스', '로스웰']",
112,자전거,"['엔에스엔', '극동유화', '삼천리자전거']",
113,장마,"['대동공업', '코엔텍', '파루', '조비']",
114,재생에너지,"['씨에스윈드', '현대에너지솔루션', '신성이엔지']",
115,재택근무,"['인트로메딕', '알서포트', '이씨에스', ‘링네트’, ‘더존비즈온’]",
116,전기자전거,"['삼성SDI', '만도', '파워로직스', '알톤스포츠', '삼천리자전거']",
117,전력설비,"['이화전기', '대원전선', '두산중공업', '한전KPS', '현대일렉트릭', '비츠로테크', '피앤씨테크', '광명전기']",
118,전자결제,"['KG모빌리언스', 'KG이니시스', '다날', '인포뱅크', 'SBI핀테크솔루션즈']",
119,전자서명,"['드림시큐리티', '한국정보인증', '한국전자인증', '한국정보통신']",
120,전자파,"['제너셈', '한미반도체', '프로텍', '켐트로닉스', '상신전자']",
121,정보보안,"['윈스', '안랩', '시큐브', '라온시큐어', '엑셈', '이니텍', '한컴위드', '이글루시큐리티', 'SGA']",
122,제대혈,"['녹십자', '강스템바이오텍', '메디포스트', '세원셀론텍', '녹십자셀', '녹십자랩셀']",
123,제습기,"['위니아딤채', '위닉스', '파세코']",
124,조림사업,"['자연과환경', '선창산업', '한익스프레스', '효성오앤비', '대유에이텍', '제이씨케미칼', '성창기업지주', '이건홀딩스']",
125,조선기자재,"['유니테스트', '인화정공', '오리엔탈정공', '삼영엠텍', '삼영이엔씨', '성광벤드', '한라IMS', '태웅', '중앙오션', '하이록코리아', '에스앤더블류', '케이에스피', '대창솔루션', '태광', ‘조광ILI', '한국카본', 'HSD엔진']",
126,주류,"['한국알콜', '하이트진로', 'MH에탄올', '풍국주정', '진로발효', '국순당', '무학', '하이트진로홀딩스', '보해양조']",
127,줄기세포,"['코아스템', '에이치엘비', '네이처셀', '바이온', '프로스테믹스', '동구바이오제약', '조아제약', '우리들휴브레인', '테고사이언스', '에이치엘비생명과학', '세원셀론텍', '제일약품', '부광약품', 'SK바이오랜드', 'SK']",
128,중국,"['오가닉티코스메틱', '대림제지', '컬러레이', ‘씨케이에이치', '헝셩그룹', '신세계', '골든센츄리', '로스웰', '에스앤씨엔진그룹', '윙입푸드', '호텔신라', '대양제지', '아모레퍼시픽', '글로벌에스엠', '크리스탈신소재', 'LG생활건강', 'GRT']",
129,지진,"['한국종합기술', '유엔젤', '이엑스티', ‘대창스틸’, ‘포메탈’, ‘파라텍’]",
130,진단키트,"['씨젠', '수젠텍', '피씨엘', '휴마시스', '랩지노믹스', '바이오니아']",
131,출산장려정책,"['제로투세븐', '락앤락', '깨끗한나라', '메디앙스', '캐리소프트', '토박스코리아', '웅진씽크빅', '삼성출판사']",
132,취업,"['메가엠디', '에스코넥', 'TS인베스트먼트', '윌비스']",
133,치매,"[‘젬백스’, ‘아이큐어', ‘고려제약', '메디프론']",
134,카지노,"['GKL', '세미콘라이트', '토비스', '파라다이스', '코텍', '강원랜드']",
135,캐릭터상품,"['캐리소프트', '오로라', '쌍방울', ‘데브시스터즈’, ‘대원미디어’]",
136,콘크리트,"['보광산업', '엔피케이', 'SG']",
137,클라우드,"['파이오링크', '다우기술', '더존비즈온', '다우데이타', ‘미래테크놀로지’, ‘가비아’]",
138,클로로퀸,"['신풍제약', '화일약품', '비씨월드제약', '크리스탈', ‘텔콘RF제약', '진양제약']",
139,키오스크,"['윈스', '씨아이테크', '한네트', '케이씨티', '케이씨에스', '푸른기술']",
140,키즈,"['토박스코리아', '제로투세븐', '오로라', '손오공', '삼성출판사']",
141,타이어,"['골든센츄리', '동아타이어', '넥센타이어', '디티알오토모티브', '넥센', '한국테크놀로지그룹', '금호타이어']",
142,탄소배출권,"['에코프로', '한솔홈데코', '후성', '휴켐스', '세종공업', '유니슨', '에코바이오', 'KC코트렐', '이건산업']",
143,탄소섬유,"['모나미', '코오롱플라스틱', ‘대상’, ‘디이엔티’]",
144,태블릿PC,"[‘에스맥', '솔루에타', '유티아이', '미래나노텍', '유아이디', '아바텍']",
145,태양광,"[‘SDN', '신성이엔지', '에스에너지', 'OCI']",
146,택배,"['동방', '한익스프레스', '대림제지', '신대양제지', '아세아제지', 'CJ대한통운', '무림페이퍼']",
147,테마파크,"['한국종합기술', '시공테크', '현대건설', '국보디자인', '이월드']",
148,파이프,"['코센', '유에스티', '세아제강', '삼강엠앤티', '동양철관']",
149,페인트,"['노루홀딩스', ‘AK홀딩스’, ‘노루페인트’, ‘삼화페인트’]",
150,펭수,"['유엔젤', '예스24']",
151,편의점,"['이마트', 'BGF리테일', '롯데지주', 'GS리테일']",
152,폐기물처리,"['코엔텍', '와이엔텍', '제넨바이오', '에코마이스터', '인선이엔티']",
153,폭염,['파세코'],
154,폴더블폰,"['파인테크닉스', '세경하이테크', '파인텍', '유티아이', '테이팩스', '디케이티', 'KH바텍', '인터플렉스']",
155,풍력에너지,"['씨에스윈드', '스페코', '현진소재', '우림기계', '씨에스베어링', '유니슨', '한일단조', '태웅', '삼강엠앤티']",
156,프린터,"['맥스로텍', '한국테크놀로지', '휴림로봇', '하이비젼시스템', 'TPC']",
157,한진,"['한진칼', ‘한진’, ‘대한항공’]",
158,항공기부품,"['켄코아에어로스페이스', '하이즈항공', '이엠코리아', '한화에어로스페이스']",
159,해운,"['KSS해운', '팬오션', '흥아해운', '대한해운', 'HMM']",
160,해저터널,"['특수건설', '동아지질', '부산산업', 'KT서브마린', '세명전기']",
161,핵융합에너지,"['비츠로테크', '에스에프에이', '두산중공업', '다원시스', '모비스']",
162,혈장치료,"['시노펙스', '한국유니온제약', '팬젠', '녹십자랩셀', '레몬', '에스맥', '삼성전자', '일신바이오', '바이오톡스텍', '필로시스헬스케어']",
163,홈쇼핑,"['현대홈쇼핑', '롯데쇼핑', 'CJ', '태광산업', '엔에스쇼핑']",
164,화장품,"['넥스트BT', '오가닉티코스메틱', '슈펙스비앤피', '코썬바이오', '현대바이오', 'SK바이오랜드', '프로스테믹스', '애경산업', 'MP한강', '한국화장품', 'LG', '코스메카코리아', '아모레퍼시픽그룹', 'LG생활건강', '한국콜마', '넥스트아이']",
165,화학섬유,"['코오롱머티리얼', '성안', '티케이케미칼', '대한화섬', ‘효성티앤씨’, ‘유비스’, ‘태광산업’]",
166,흑사병,"['보령제약', '삼성제약', '신풍제약', '국제약품', '종근당바이오', '인트론바이오']",
167,희토류,"['유니온머티리얼', ‘혜인', '유니온', '티플랙스', '포스코엠텍', '태경산업']",